Income Level,Units,RHNA,Percent,Projected Units,On Track Score,Status,Jurisdiction,Geographic Level,County,Region,Cycle,Planning Period,Planning Period Start,Planning Period End,Cycle Started,Snapshot Date,Most Recent,Total Days,Elapsed Days,Percent Elapsed,Tiers Met,Tiers With Goal,Overall Progress,Overall On Track Score,Overall Category,Source Last Updated
Moderate,97,763,0.13,224.76923076923077,0.29458614779715697,Far Off Track,Alameda County,County,Alameda,Bay Area,6,01/31/2023 - 01/31/2031,2023-01-31,2031-01-31,True,2026-07-15,True,2922,1261,0.43155373032169747,0,4,0.15465199233844498,0.35836092118393037,Far Off Track,2026-07-15 12:00:00
Total,659,4693,0.14042190496484125,1527.0404440919904,0.3253868408463649,Far Off Track,Alameda County,County,Alameda,Bay Area,6,01/31/2023 - 01/31/2031,2023-01-31,2031-01-31,True,2026-07-15,True,2922,1261,0.43155373032169747,0,4,0.15465199233844498,0.35836092118393037,Far Off Track,2026-07-15 12:00:00
Very Low,171,1251,0.14,396.2426645519429,0.3167407390503141,Far Off Track,Alameda County,County,Alameda,Bay Area,6,01/31/2023 - 01/31/2031,2023-01-31,2031-01-31,True,2026-07-15,True,2922,1261,0.43155373032169747,0,4,0.15465199233844498,0.35836092118393037,Far Off Track,2026-07-15 12:00:00
Above Moderate,220,145,1.52,220.0,1.5172413793103448,Met,Albany,City,Alameda,Bay Area,5,01/31/2015 - 01/31/2023,2015-01-31,2023-01-31,True,2026-07-15,True,2922,4183,1.4315537303216974,2,4,0.7415094339622641,0.7415094339622641,Behind,2026-07-15 12:00:00
Low,30,53,0.57,30.0,0.5660377358490566,Behind,Albany,City,Alameda,Bay Area,5,01/31/2015 - 01/31/2023,2015-01-31,2023-01-31,True,2026-07-15,True,2922,4183,1.4315537303216974,2,4,0.7415094339622641,0.7415094339622641,Behind,2026-07-15 12:00:00
Moderate,93,57,1.63,93.0,1.631578947368421,Met,Albany,City,Alameda,Bay Area,5,01/31/2015 - 01/31/2023,2015-01-31,2023-01-31,True,2026-07-15,True,2922,4183,1.4315537303216974,2,4,0.7415094339622641,0.7415094339622641,Behind,2026-07-15 12:00:00
Total,375,335,1.1194029850746268,375.0,1.1194029850746268,Met,Albany,City,Alameda,Bay Area,5,01/31/2015 - 01/31/2023,2015-01-31,2023-01-31,True,2026-07-15,True,2922,4183,1.4315537303216974,2,4,0.7415094339622641,0.7415094339622641,Behind,2026-07-15 12:00:00
Very Low,32,80,0.4,32.0,0.4,Behind,Albany,City,Alameda,Bay Area,5,01/31/2015 - 01/31/2023,2015-01-31,2023-01-31,True,2026-07-15,True,2922,4183,1.4315537303216974,2,4,0.7415094339622641,0.7415094339622641,Behind,2026-07-15 12:00:00
Above Moderate,190,453,0.42,440.26962727993657,0.9718976319645399,Nearly On Track,Albany,City,Alameda,Bay Area,6,01/31/2023 - 01/31/2031,2023-01-31,2031-01-31,True,2026-07-15,True,2922,1261,0.43155373032169747,0,4,0.17431733222007795,0.40392961518403475,Far Off Track,2026-07-15 12:00:00
Low,17,178,0.1,39.39254559873117,0.2213064359479279,Far Off Track,Albany,City,Alameda,Bay Area,6,01/31/2023 - 01/31/2031,2023-01-31,2031-01-31,True,2026-07-15,True,2922,1261,0.43155373032169747,0,4,0.17431733222007795,0.40392961518403475,Far Off Track,2026-07-15 12:00:00
Moderate,16,175,0.09,37.07533703409992,0.21185906876628524,Far Off Track,Albany,City,Alameda,Bay Area,6,01/31/2023 - 01/31/2031,2023-01-31,2031-01-31,True,2026-07-15,True,2922,1261,0.43155373032169747,0,4,0.17431733222007795,0.40392961518403475,Far Off Track,2026-07-15 12:00:00
Total,251,1114,0.2253141831238779,581.6193497224425,0.5220999548675427,Somewhat Off Track,Albany,City,Alameda,Bay Area,6,01/31/2023 - 01/31/2031,2023-01-31,2031-01-31,True,2026-07-15,True,2922,1261,0.43155373032169747,0,4,0.17431733222007795,0.40392961518403475,Far Off Track,2026-07-15 12:00:00
Very Low,28,308,0.09,64.88183980967486,0.2106553240573859,Far Off Track,Albany,City,Alameda,Bay Area,6,01/31/2023 - 01/31/2031,2023-01-31,2031-01-31,True,2026-07-15,True,2922,1261,0.43155373032169747,0,4,0.17431733222007795,0.40392961518403475,Far Off Track,2026-07-15 12:00:00
Above Moderate,699,642,1.09,699.0,1.088785046728972,Met,Alhambra,City,Los Angeles,Los Angeles (Regional),5,10/15/2013 - 10/15/2021,2013-10-15,2021-10-15,True,2026-07-15,True,2922,4656,1.593429158110883,1,4,0.2580711496729629,0.2580711496729629,Behind,2026-07-15 12:00:00
Low,3,224,0.01,3.0,0.013392857142857142,Behind,Alhambra,City,Los Angeles,Los Angeles (Regional),5,10/15/2013 - 10/15/2021,2013-10-15,2021-10-15,True,2026-07-15,True,2922,4656,1.593429158110883,1,4,0.2580711496729629,0.2580711496729629,Behind,2026-07-15 12:00:00
Moderate,4,246,0.02,4.0,0.016260162601626018,Behind,Alhambra,City,Los Angeles,Los Angeles (Regional),5,10/15/2013 - 10/15/2021,2013-10-15,2021-10-15,True,2026-07-15,True,2922,4656,1.593429158110883,1,4,0.2580711496729629,0.2580711496729629,Behind,2026-07-15 12:00:00
