Geographic Level,Location,Date,Total,1 Unit,2 Units,3 and 4 Units,5 Units or More
Metro,Ventura,2010-04,27,19,0,3,5
Metro,Visalia,2010-04,60,60,0,0,0
Metro,Yuba City,2010-04,11,11,0,0,0
State,Alabama,2010-04,1142,869,22,3,248
State,Alaska,2010-04,100,88,0,0,12
State,Arizona,2010-04,1142,1095,4,6,37
State,Arkansas,2010-04,771,497,18,0,256
State,California,2010-04,3210,2453,48,65,644
State,Colorado,2010-04,895,785,12,12,86
State,Connecticut,2010-04,346,238,18,0,90
State,Delaware,2010-04,315,223,6,0,86
State,Florida,2010-04,3743,3126,16,82,519
State,Georgia,2010-04,1778,1479,10,14,275
State,Hawaii,2010-04,195,186,4,0,5
State,Idaho,2010-04,542,524,2,11,5
State,Illinois,2010-04,1097,922,22,12,141
State,Indiana,2010-04,1359,1063,8,0,288
State,Iowa,2010-04,872,680,34,4,154
State,Kansas,2010-04,410,362,14,3,31
State,Kentucky,2010-04,683,618,18,7,40
State,Louisiana,2010-04,1178,1057,18,0,103
State,Maine,2010-04,306,287,6,3,10
State,Maryland,2010-04,904,830,2,0,72
State,Massachusetts,2010-04,714,479,18,9,208
State,Michigan,2010-04,803,747,8,0,48
State,Minnesota,2010-04,972,851,4,8,109
State,Mississippi,2010-04,552,540,2,0,10
State,Missouri,2010-04,808,634,48,11,115
State,Montana,2010-04,241,184,32,15,10
State,Nebraska,2010-04,604,555,6,7,36
State,Nevada,2010-04,698,547,2,16,133
State,New Hampshire,2010-04,226,191,4,15,16
State,New Jersey,2010-04,1104,713,46,33,312
State,New Mexico,2010-04,436,414,0,3,19
State,New York,2010-04,1666,898,54,84,630
State,North Carolina,2010-04,3284,2615,22,128,519
State,North Dakota,2010-04,421,417,4,0,0
State,Ohio,2010-04,1618,1142,14,17,445
State,Oklahoma,2010-04,838,732,10,0,96
State,Oregon,2010-04,728,573,12,20,123
State,Pennsylvania,2010-04,1653,1451,46,42,114
State,Rhode Island,2010-04,69,61,8,0,0
State,South Carolina,2010-04,1430,1360,4,0,66
State,South Dakota,2010-04,585,295,2,30,258
State,Tennessee,2010-04,1323,1230,20,20,53
State,Texas,2010-04,8056,6762,44,44,1206
State,Utah,2010-04,940,880,6,11,43
State,Vermont,2010-04,111,107,4,0,0
State,Virginia,2010-04,2081,1812,6,26,237
State,Washington,2010-04,1554,1465,26,21,42
State,West Virginia,2010-04,216,205,0,6,5
State,Wisconsin,2010-04,1446,878,22,4,542
State,Wyoming,2010-04,142,137,0,0,5
Metro,Bakersfield,2010-05,202,119,6,0,77
Metro,Chico,2010-05,20,10,0,10,0
Metro,El Centro,2010-05,13,13,0,0,0
Metro,Fresno,2010-05,141,138,0,3,0
Metro,Hanford,2010-05,63,15,0,0,48
Metro,Inland Empire,2010-05,336,326,0,0,10
Metro,Los Angeles,2010-05,612,301,30,33,248
Metro,Madera,2010-05,7,7,0,0,0
Metro,Merced,2010-05,0,0,0,0,0
Metro,Modesto,2010-05,15,15,0,0,0
Metro,Napa,2010-05,3,3,0,0,0
Metro,Redding,2010-05,11,11,0,0,0
Metro,Sacramento,2010-05,234,232,2,0,0
Metro,Salinas,2010-05,8,8,0,0,0
Metro,San Diego,2010-05,373,201,0,0,172
Metro,San Francisco,2010-05,282,215,18,11,38
Metro,San Jose,2010-05,449,37,2,0,410
Metro,San Luis Obispo,2010-05,14,14,0,0,0
Metro,Santa Barbara,2010-05,17,15,2,0,0
