Year,Geographic Level,Location,Race/Ethnicity,Tenure,Number Over 30%,Number Over 50%,Share Over 30%,Share Over 50%
2012,County,Colusa,Multiracial,Owned With Mortgage,133,107,0.747191011,0.601123596
2012,County,Colusa,Multiracial,Owned Without Mortgage,40,40,0.481927711,0.481927711
2012,County,Colusa,Multiracial,Rented,0,0,0.0,0.0
2012,County,Colusa,Multiracial,Total,173,147,0.336575875,0.285992218
2012,County,Colusa,White,Owned,6420,2578,0.282185398,0.1133136999999999
2012,County,Colusa,White,Owned With Mortgage,4793,2014,0.366661567,0.154069767
2012,County,Colusa,White,Owned Without Mortgage,1627,564,0.168095878,0.058270482
2012,County,Colusa,White,Rented,3764,1944,0.460202959,0.237681868
2012,County,Colusa,White,Total,10184,4522,0.329259618,0.146201099
2012,County,Contra Costa,AIAN,Owned,254,0,0.5893271460162414,0.0
2012,County,Contra Costa,AIAN,Owned With Mortgage,254,0,0.8410596024900662,0.0
2012,County,Contra Costa,AIAN,Owned Without Mortgage,0,0,0.0,0.0
2012,County,Contra Costa,AIAN,Rented,323,323,0.8544973544973545,0.8544973544973545
2012,County,Contra Costa,AIAN,Total,577,323,0.7132262051087763,0.3992583436341162
2012,County,Contra Costa,All,Owned,87487,36199,0.35746915096721,0.1479079840576244
2012,County,Contra Costa,All,Owned With Mortgage,78651,32295,0.4097430606655465,0.168245186418938
2012,County,Contra Costa,All,Owned Without Mortgage,8836,3904,0.1673865270466962,0.0739562021800977
2012,County,Contra Costa,All,Rented,71618,37363,0.5544304580285816,0.2892455138750522
2012,County,Contra Costa,All,Total,159105,73562,0.4255122835227298,0.1967350780938451
2012,County,Contra Costa,Asian,Owned,12528,5108,0.3299446930294969,0.1345272584414011
2012,County,Contra Costa,Asian,Owned With Mortgage,11876,4908,0.379085801935521,0.1566649642784729
2012,County,Contra Costa,Asian,Owned Without Mortgage,652,200,0.0981632037031014,0.030111412303523
2012,County,Contra Costa,Asian,Rented,5944,2529,0.4281495355080314,0.1821652379204062
2012,County,Contra Costa,Asian,Total,18472,7637,0.3562378261985228,0.1472817388518697
2012,County,Contra Costa,Black,Owned,6718,3143,0.4791726106465762,0.2241797433259629
2012,County,Contra Costa,Black,Owned With Mortgage,6351,2824,0.509384023185916,0.226499839347289
2012,County,Contra Costa,Black,Owned Without Mortgage,367,319,0.2364690722235825,0.2055412372493556
2012,County,Contra Costa,Black,Rented,14004,7345,0.6844240259673037,0.3589756122086408
2012,County,Contra Costa,Black,Total,20722,10488,0.6009686493264985,0.3041675128147096
2012,County,Contra Costa,Hispanic,Owned,15369,6303,0.492817289931636,0.2021099210743282
2012,County,Contra Costa,Hispanic,Owned With Mortgage,13999,5970,0.5383609583356535,0.2295888934594085
2012,County,Contra Costa,Hispanic,Owned Without Mortgage,1370,333,0.264325680322786,0.0642485046368898
2012,County,Contra Costa,Hispanic,Rented,19733,10966,0.5931169221101593,0.329606251860024
2012,County,Contra Costa,Hispanic,Total,35102,17269,0.5445885567001676,0.2679192008559327
2012,County,Contra Costa,Multiracial,Owned,2807,1311,0.4484741971509826,0.2094583801062469
2012,County,Contra Costa,Multiracial,Owned With Mortgage,2444,1057,0.4666793964611418,0.201833110524346
2012,County,Contra Costa,Multiracial,Owned Without Mortgage,363,254,0.3551859097886497,0.2485322895499021
2012,County,Contra Costa,Multiracial,Rented,3130,2398,0.6539908065520267,0.501044713631216
2012,County,Contra Costa,Multiracial,Total,5937,3709,0.537528293370756,0.3358080578928022
2012,County,Contra Costa,NHPI,Owned,310,310,1.0,1.0
2012,County,Contra Costa,NHPI,Owned With Mortgage,310,310,1.0,1.0
2012,County,Contra Costa,NHPI,Rented,170,170,0.2196382428294573,0.2196382428294573
2012,County,Contra Costa,NHPI,Total,480,480,0.442804427998155,0.442804427998155
2012,County,Contra Costa,Other,Owned,0,0,0.0,0.0
2012,County,Contra Costa,Other,Owned With Mortgage,0,0,0.0,0.0
2012,County,Contra Costa,Other,Owned Without Mortgage,0,0,0.0,0.0
2012,County,Contra Costa,Other,Rented,84,51,1.0,0.6071428571428571
2012,County,Contra Costa,Other,Total,84,51,0.2400000000571428,0.1457142857142857
2012,County,Contra Costa,White,Owned,49501,20024,0.3208142686026261,0.1297748510473499
2012,County,Contra Costa,White,Owned With Mortgage,43417,17226,0.3740587574749117,0.1484104419272508
2012,County,Contra Costa,White,Owned Without Mortgage,6084,2798,0.1591503610235429,0.0731924245420634
2012,County,Contra Costa,White,Rented,28230,13581,0.5083006228582052,0.2445352731343945
2012,County,Contra Costa,White,Total,77731,33605,0.3704369125377104,0.1601488782382574
2012,County,Del Norte,AIAN,Owned,220,69,0.227743271,0.071428571
2012,County,Del Norte,AIAN,Owned With Mortgage,165,56,0.380184332,0.129032258
2012,County,Del Norte,AIAN,Owned Without Mortgage,55,13,0.103383459,0.02443609
2012,County,Del Norte,AIAN,Rented,168,74,0.2026538,0.089264174
2012,County,Del Norte,AIAN,Total,388,143,0.216155989,0.079665738
2012,County,Del Norte,All,Owned,9490,3830,0.297996609,0.120266281
2012,County,Del Norte,All,Owned With Mortgage,7382,3334,0.394611643,0.178222056
2012,County,Del Norte,All,Owned Without Mortgage,2108,496,0.16043839,0.037750209
2012,County,Del Norte,All,Rented,7996,4540,0.506364385,0.287505541
2012,County,Del Norte,All,Total,17486,8370,0.367067616,0.17570376
2012,County,Del Norte,Asian,Owned,92,92,0.8440366970000001,0.8440366970000001
2012,County,Del Norte,Asian,Owned With Mortgage,92,92,0.8440366970000001,0.8440366970000001
2012,County,Del Norte,Asian,Rented,0,0,0.0,0.0
2012,County,Del Norte,Asian,Total,92,92,0.322807018,0.322807018
2012,County,Del Norte,Black,Owned,260,0,1.0,0.0
2012,County,Del Norte,Black,Owned With Mortgage,109,0,1.0,0.0
2012,County,Del Norte,Black,Owned Without Mortgage,151,0,1.0,0.0
2012,County,Del Norte,Black,Rented,65,65,0.7558139530000001,0.7558139530000001
2012,County,Del Norte,Black,Total,325,65,0.939306358,0.187861272
2012,County,Del Norte,Hispanic,Owned,616,197,0.364712848,0.116637063
2012,County,Del Norte,Hispanic,Owned With Mortgage,400,96,0.349344978,0.083842795
2012,County,Del Norte,Hispanic,Owned Without Mortgage,216,101,0.397058824,0.185661765
2012,County,Del Norte,Hispanic,Rented,1138,816,0.741368078,0.531596091
2012,County,Del Norte,Hispanic,Total,1754,1013,0.544044665,0.314205955
2012,County,Del Norte,Multiracial,Owned,305,133,0.3265524629999999,0.142398287
2012,County,Del Norte,Multiracial,Owned With Mortgage,242,70,0.556321839,0.16091954
2012,County,Del Norte,Multiracial,Owned Without Mortgage,63,63,0.126252505,0.126252505
2012,County,Del Norte,Multiracial,Rented,359,339,0.43253012,0.4084337350000001
2012,County,Del Norte,Multiracial,Total,664,472,0.376417234,0.267573696
2012,County,Del Norte,NHPI,Owned,15,15,1.0,1.0
2012,County,Del Norte,NHPI,Owned With Mortgage,15,15,1.0,1.0
2012,County,Del Norte,NHPI,Rented,62,52,1.0,0.838709677
2012,County,Del Norte,NHPI,Total,77,67,1.0,0.8701298699999999
2012,County,Del Norte,Other,Rented,0,0,0.0,0.0
2012,County,Del Norte,Other,Total,0,0,0.0,0.0
2012,County,Del Norte,White,Owned,7982,3324,0.286370323,0.119255193
