Year,Geographic Level,Location,Race/Ethnicity,Tenure,Number Over 30%,Number Over 50%,Share Over 30%,Share Over 50%
2024,County,Calaveras,Multiracial,Rented,1520,851,0.720037896731407,0.40312648034107057
2024,County,Calaveras,Multiracial,Total,3134,1325,0.4042306204050045,0.17090158648265188
2024,County,Calaveras,Other,Owned,1153,404,0.7666223404255319,0.26861702127659576
2024,County,Calaveras,Other,Owned With Mortgage,953,404,0.821551724137931,0.3482758620689655
2024,County,Calaveras,Other,Owned Without Mortgage,200,0,0.5813953488372093,0.0
2024,County,Calaveras,Other,Rented,664,193,0.8523748395378691,0.24775353016688062
2024,County,Calaveras,Other,Total,1817,597,0.7958826106000876,0.2614980289093298
2024,County,Calaveras,White,Owned,14624,7544,0.3100144153311286,0.15992537946239294
2024,County,Calaveras,White,Owned With Mortgage,9960,4848,0.3666887563507842,0.17848464766953834
2024,County,Calaveras,White,Owned Without Mortgage,4664,2696,0.23308345827086457,0.1347326336831584
2024,County,Calaveras,White,Rented,7012,3755,0.4488829140259907,0.24038153767364445
2024,County,Calaveras,White,Total,21636,11299,0.34456069944102047,0.17994043922093228
2024,County,Colusa,AIAN,Owned,149,131,0.15918803418803418,0.13995726495726496
2024,County,Colusa,AIAN,Owned With Mortgage,0,0,0.0,0.0
2024,County,Colusa,AIAN,Owned Without Mortgage,149,131,0.2395498392282958,0.21061093247588425
2024,County,Colusa,AIAN,Rented,97,0,0.7578125,0.0
2024,County,Colusa,AIAN,Total,246,131,0.231203007518797,0.1231203007518797
2024,County,Colusa,All,Owned,9914,5110,0.3076588877855015,0.15857745779543198
2024,County,Colusa,All,Owned With Mortgage,7911,3943,0.4440141437952517,0.22130549475220296
2024,County,Colusa,All,Owned Without Mortgage,2003,1167,0.13902963837023669,0.08100229055320331
2024,County,Colusa,All,Rented,9521,5035,0.5194217130387343,0.2746863066012002
2024,County,Colusa,All,Total,19435,10145,0.38444040036396726,0.20067650433200143
2024,County,Colusa,Hispanic,Owned,2395,992,0.32835207019468055,0.13600219358376747
2024,County,Colusa,Hispanic,Owned With Mortgage,1993,917,0.4456618962432916,0.20505366726296959
2024,County,Colusa,Hispanic,Owned Without Mortgage,402,75,0.14245216158752658,0.02657689581856839
2024,County,Colusa,Hispanic,Rented,2873,1053,0.4491869918699187,0.16463414634146342
2024,County,Colusa,Hispanic,Total,5268,2045,0.3848064280496713,0.1493791088385683
2024,County,Colusa,Multiracial,Owned,1510,698,0.42739881120860457,0.19756580809510332
2024,County,Colusa,Multiracial,Owned With Mortgage,1491,679,0.568,0.25866666666666666
2024,County,Colusa,Multiracial,Owned Without Mortgage,19,19,0.02092511013215859,0.02092511013215859
2024,County,Colusa,Multiracial,Rented,1415,901,0.4738780977896852,0.3017414601473543
2024,County,Colusa,Multiracial,Total,2925,1599,0.4486884491486424,0.24528301886792453
2024,County,Colusa,Other,Owned,1353,594,0.31319444444444444,0.1375
2024,County,Colusa,Other,Owned With Mortgage,813,377,0.36181575433911883,0.16777926123720516
2024,County,Colusa,Other,Owned Without Mortgage,540,217,0.26049204052098407,0.10467920887602508
2024,County,Colusa,Other,Rented,1807,716,0.45310932798395187,0.17953861584754263
2024,County,Colusa,Other,Total,3160,1310,0.3803562831006259,0.1576793452094367
2024,County,Colusa,White,Owned,6620,3628,0.30013147753547625,0.16448293058892868
2024,County,Colusa,White,Owned With Mortgage,5386,2828,0.45241495170096596,0.2375472490550189
2024,County,Colusa,White,Owned Without Mortgage,1234,800,0.12155240346729708,0.07880220646178093
2024,County,Colusa,White,Rented,5414,3216,0.5269099756690998,0.312992700729927
2024,County,Colusa,White,Total,12034,6844,0.37220091550167017,0.2116788321167883
2024,County,Contra Costa,AIAN,Owned,110,0,0.17027863777089783,0.0
2024,County,Contra Costa,AIAN,Owned With Mortgage,0,0,0.0,0.0
2024,County,Contra Costa,AIAN,Owned Without Mortgage,110,0,0.1896551724137931,0.0
2024,County,Contra Costa,AIAN,Rented,84,0,0.35,0.0
2024,County,Contra Costa,AIAN,Total,194,0,0.21896162528216703,0.0
2024,County,Contra Costa,All,Owned,89303,39309,0.3123017579935024,0.13746760808670017
2024,County,Contra Costa,All,Owned With Mortgage,76082,32134,0.38023319156592184,0.16059532317472375
2024,County,Contra Costa,All,Owned Without Mortgage,13221,7175,0.15398681543944653,0.08356821728901209
2024,County,Contra Costa,All,Rented,69481,37579,0.5274300679394238,0.2852620791740995
2024,County,Contra Costa,All,Total,158784,76888,0.38015159713277435,0.18408086457290884
2024,County,Contra Costa,Asian,Owned,17119,6766,0.29221787890685014,0.11549425601283649
2024,County,Contra Costa,Asian,Owned With Mortgage,15134,5528,0.3570687051717629,0.13042657606644018
2024,County,Contra Costa,Asian,Owned Without Mortgage,1985,1238,0.1225384282980431,0.07642447064633619
2024,County,Contra Costa,Asian,Rented,6699,3450,0.3615999136348915,0.18622476519486128
2024,County,Contra Costa,Asian,Total,23818,10216,0.3088874191080159,0.13248777704288733
2024,County,Contra Costa,Black,Owned,6297,2974,0.3846905736453051,0.18168489217423178
2024,County,Contra Costa,Black,Owned With Mortgage,5655,2332,0.45450892139527405,0.18742967368590258
2024,County,Contra Costa,Black,Owned Without Mortgage,642,642,0.16348357524828114,0.16348357524828114
2024,County,Contra Costa,Black,Rented,11648,6265,0.6025866528711847,0.3241076047594413
2024,County,Contra Costa,Black,Total,17945,9239,0.5026751449620438,0.2588027675845262
2024,County,Contra Costa,Hispanic,Owned,14844,6999,0.3144448916474252,0.14826191030991168
2024,County,Contra Costa,Hispanic,Owned With Mortgage,13218,6207,0.38924553860651395,0.18278461629071205
2024,County,Contra Costa,Hispanic,Owned Without Mortgage,1626,792,0.12272624349007473,0.059778096460110196
2024,County,Contra Costa,Hispanic,Rented,22571,12198,0.5503779565959522,0.2974396488661302
2024,County,Contra Costa,Hispanic,Total,37415,19197,0.4241246018341136,0.2176111180384733
2024,County,Contra Costa,Multiracial,Owned,9722,4044,0.2869793665318653,0.11937302594680757
2024,County,Contra Costa,Multiracial,Owned With Mortgage,8789,3604,0.33950092707045737,0.1392150803461063
2024,County,Contra Costa,Multiracial,Owned Without Mortgage,933,440,0.11678558017273752,0.055075729127550384
2024,County,Contra Costa,Multiracial,Rented,11001,5611,0.605548522045467,0.30885671822535365
2024,County,Contra Costa,Multiracial,Total,20723,9655,0.3981823072784567,0.18551610176004918
2024,County,Contra Costa,Other,Owned,7256,4037,0.3756665803779446,0.20900854258348434
2024,County,Contra Costa,Other,Owned With Mortgage,6578,3693,0.492438987872436,0.27646354244647403
2024,County,Contra Costa,Other,Owned Without Mortgage,678,344,0.11381567903307034,0.05774718818197079
2024,County,Contra Costa,Other,Rented,12838,7788,0.5536961959803329,0.33589234883119123
2024,County,Contra Costa,Other,Total,20094,11825,0.4727888755558693,0.27822874755888094
2024,County,Contra Costa,White,Owned,45440,20052,0.3117624457983424,0.13757615675942697
